384_Plate,ORF,Gene,Description,1536_coord
15G9,YJR121W,ATP2,"Beta subunit of the F1 sector of mitochondrial F1F0 ATP synthase; which is a large, evolutionarily conserved enzyme complex required for ATP synthesis; F1 translationally regulates ATP6 and ATP8 expression to achieve a balanced output of ATP synthase genes encoded in nucleus and mitochondria; phosphorylated",4_14_17
16G9,YDL144C,YDL144C,Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus; YDL144C is not an essential gene; protein abundance increases in response to DNA replication stress,4_14_18
15G10,YJR122W,IBA57,Protein involved in incorporating iron-sulfur clusters into proteins; mitochondrial matrix protein; involved in the incorporation of iron-sulfur clusters into mitochondrial aconitase-type proteins; activates the radical-SAM family members Bio2p and Lip5p; interacts with Ccr4p in the two-hybrid system,4_14_19
16G1,YDL046W,NPC2,Sterol transport protein and functional homolog of human NPC2/He1; human NPC2 is a cholesterol-binding protein whose deficiency causes Niemann-Pick type C2 disease involving retention of cholesterol in lysosomes; yeast NPC2 can complement mutations in human NPC2,4_14_2
16G10,Control-URA+,None,#N/A,4_14_20
15G11,YJR144W,MGM101,"Protein with a role in mitochondrial DNA recombinational repair; also involved in interstrand cross-link repair; binds to and catalyzes the annealing of single-stranded mtDNA; oligomerizes to form rings and filaments; related to Rad52-type recombination proteins, with limited overall similarity but sharing conserved functionally important residues; component of the mitochondrial nucleoid, required for the repair of oxidative mtDNA damage and mitochondrial genome maintenance",4_14_21
16G11,YDR056C,EMC10,Putative protein of unknown function; subunit of evolutionarily conserved EMC (Endoplasmic Reticulum Membrane Complex) implicated in ERAD (ER-associated degradation) and proper assembly of multi-pass transmembrane (TM) proteins; EMC acts in yeast as an ER-mitochondria tether that interacts with outer membrane protein Tom5p of TOM (Translocase of the Mitochondrial Outer Membrane) complex; YDR056C is not an essential protein,4_14_22
15G12,YKL018C-A,YKL018C-A,Putative protein of unknown function; identified by homology; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm,4_14_23
16G12,YHR110W,ERP5,Protein with similarity to Emp24p and Erv25p; member of the p24 family involved in ER to Golgi transport,4_14_24
15G13,YJR045C,SSC1,"Hsp70 family ATPase; constituent of the import motor component of the Translocase of the Inner Mitochondrial membrane (TIM23 complex); involved in protein translocation and folding; subunit of SceI endonuclease; SSC1 has a paralog, ECM10, that arose from the whole genome duplication",4_14_25
16G13,YDR057W,YOS9,"ER quality-control lectin; integral subunit of the HRD ligase; participates in efficient ER retention of misfolded proteins by recognizing them and delivering them to Hrd1p; binds to glycans with terminal alpha-1,6 linked mannose on misfolded N-glycosylated proteins and participates in targeting proteins to ERAD; member of the OS-9 protein family",4_14_26
15G14,YJR051W,OSM1,"Fumarate reductase, catalyzes the reduction of fumarate to succinate; required for the reoxidation of intracellular NADH under anaerobic conditions; mutations cause osmotic sensitivity; has two translation start sites, one at the annotated start codon which produces an ER-targeted form required for anaerobic growth, and one at codon 32 which produces a mitochondrially-targeted form; OSM1 has a paralog, FRD1, that arose from the whole genome duplication",4_14_27
16G14,YHR126C,ANS1,Putative GPI protein; SWAT-GFP and mCherry fusion proteins localize to the vacuole; transcription dependent upon Azf1p,4_14_28
15G15,YJR061W,YJR061W,"Putative protein of unknown function; non-essential gene; transcription repressed by Rm101p; YJR061W has a paralog, MNN4, that arose from the whole genome duplication",4_14_29
16G15,YDR077W,SED1,"Major stress-induced structural GPI-cell wall glycoprotein; associates with translating ribosomes, possible role in mitochondrial genome maintenance; ORF contains two distinct variable minisatellites; SED1 has a paralog, SPI1, that arose from the whole genome duplication",4_14_30
15G16,YJR080C,AIM24,Protein with a role in determining mitochondrial architecture; inner membrane protein that interacts physically and genetically with the MICOS complex and is required for its integrity,4_14_31
16G16,YHR132C,ECM14,Putative metalloprotease with similarity to zinc carboxypeptidases; required for normal cell wall assembly,4_14_32
15G17,YKL029C,MAE1,"Mitochondrial malic enzyme; catalyzes the oxidative decarboxylation of malate to pyruvate, which is a key intermediate in sugar metabolism and a precursor for synthesis of several amino acids",4_14_33
16G17,YDR107C,TMN2,"Protein with a role in cellular adhesion and filamentous growth; similar to Tmn3p; member of the evolutionarily conserved Transmembrane Nine family of proteins with nine membrane-spanning segments; TMN2 has a paralog, EMP70, that arose from the whole genome duplication",4_14_34
15G18,YKL138C,MRPL31,Mitochondrial ribosomal protein of the large subunit,4_14_35
16G18,YHR139C,SPS100,"Protein required for spore wall maturation; expressed during sporulation; may be a component of the spore wall; expression also induced in cells treated with the mycotoxin patulin; SPS100 has a paralog, YGP1, that arose from the whole genome duplication",4_14_36
15G19,YKL141W,SDH3,"Subunit of succinate dehydrogenase and of TIM22 translocase; functions as cytochrome b subunit of succinate dehydrogenase, which couples oxidation of succinate to transfer of electrons to ubiquinone as part of the TCA cycle and the mitochondrial respiratory chain; also required for mitochondrial inner membrane protein import as part of the TIM22 complex; SDH3 has a paralog, SHH3, that arose from the whole genome duplication",4_14_37
16G19,YDR144C,MKC7,"GPI-anchored aspartyl protease; member of the yapsin family of proteases involved in cell wall growth and maintenance; shares functions with Yap3p and Kex2p; MKC7 has a paralog, YPS1, that arose from the whole genome duplication",4_14_38
15G20,YKL148C,SDH1,Flavoprotein subunit of succinate dehydrogenase; couples the oxidation of succinate to the transfer of electrons to ubiquinone as part of the TCA cycle and the mitochondrial respiratory chain; FAD binding to Sdh1p is required for the assembly of the succinate dehydrogenase subunits; mutations in human ortholog SDHA are associated with Leigh syndrome,4_14_39
16G2,YHR098C,SFB3,Component of the Sec23p-Sfb3p heterodimer of the COPII vesicle coat; COPII coat is required for cargo selection during vesicle formation in ER to Golgi transport; scaffolding function of Lst1p required to generate vesicles that can accommodate difficult cargo proteins that include large oligomeric assemblies and asymmetrically distributed membrane proteins; homologous to Sec24p and Sfb2p,4_14_4
16G20,YHR143W,DSE2,Daughter cell-specific secreted protein with similarity to glucanases; degrades cell wall from the daughter side causing daughter to separate from mother; expression is repressed by cAMP,4_14_40
15G21,YKL150W,MCR1,Mitochondrial NADH-cytochrome b5 reductase; involved in ergosterol biosynthesis,4_14_41
16G21,YDR221W,GTB1,"Glucosidase II beta subunit, forms a complex with alpha subunit Rot2p; involved in removal of two glucose residues from N-linked glycans during glycoprotein biogenesis in the ER; relocalizes from ER to cytoplasm upon DNA replication stress",4_14_42
15G22,YKL155C,RSM22,Mitochondrial ribosomal protein of the small subunit; also predicted to be an S-adenosylmethionine-dependent RNA methyltransferase,4_14_43
16G22,YHR151C,MTC6,Protein of unknown function; mtc6 is synthetically sick with cdc13-1; SWAT-GFP and mCherry fusion proteins localize to the vacuole while SWAT-GFP fusion also localizes to the endoplasmic reticulum,4_14_44
15G23,YKL192C,ACP1,"Mitochondrial matrix acyl carrier protein; involved in biosynthesis of octanoate, which is a precursor to lipoic acid; activated by phosphopantetheinylation catalyzed by Ppt2p",4_14_45
16G23,YDR248C,YDR248C,"Putative gluconokinase; sequence similarity to bacterial and human gluconokinase; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; upregulated by deletion of the RNAP-II associated factor, PAF1",4_14_46
15G24,YKL040C,NFU1,"Protein involved in iron metabolism in mitochondria; similar to NifU, which is a protein required for the maturation of the Fe/S clusters of nitrogenase in nitrogen-fixing bacteria",4_14_47
16G24,YHR154W,RTT107,Protein implicated in Mms22-dependent DNA repair during S phase; involved in recruiting the SMC5/6 complex to double-strand breaks; DNA damage induces phosphorylation by Mec1p at one or more SQ/TQ motifs; interacts with Mms22p and Slx4p; has four BRCT domains; has a role in regulation of Ty1 transposition; relative distribution to nuclear foci increases upon DNA replication stress,4_14_48
16G3,YDL049C,KNH1,"Protein with similarity to Kre9p; Kre9p is involved in cell wall beta 1,6-glucan synthesis; overproduction suppresses growth defects of a kre9 null mutant; required for propionic acid resistance",4_14_6
16G4,YHR101C,BIG1,"Integral membrane protein of the endoplasmic reticulum; required for normal content of cell wall beta-1,6-glucan",4_14_8
15H1,YKL085W,MDH1,Mitochondrial malate dehydrogenase; catalyzes interconversion of malate and oxaloacetate; involved in the tricarboxylic acid (TCA) cycle; phosphorylated,4_16_01
15H2,YKL106W,AAT1,Mitochondrial aspartate aminotransferase; catalyzes the conversion of oxaloacetate to aspartate in aspartate and asparagine biosynthesis,4_16_03
15H3,YKL134C,37165,"Mitochondrial intermediate peptidase; cleaves destabilizing N-terminal residues of a subset of proteins upon import, after their cleavage by mitochondrial processing peptidase (Mas1p-Mas2p); may contribute to mitochondrial iron homeostasis",4_16_05
15H4,YKL194C,MST1,"Mitochondrial threonyl-tRNA synthetase; aminoacylates both the canonical threonine tRNA tT(UGU)Q1 and the unusual threonine tRNA tT(UAG)Q2 in vitro; lacks a typical editing domain, but has pre-transfer editing activity stimulated by the unusual tRNA-Thr",4_16_07
15H5,YKR066C,CCP1,"Mitochondrial cytochrome-c peroxidase; degrades reactive oxygen species in mitochondria, involved in the response to oxidative stress",4_16_09
16H5,YLR104W,LCL2,"Putative protein of unknown function; mutant is deficient in cell wall mannosylphosphate and has long chronological lifespan; genetic interactions suggest a role in ER-associated protein degradation (ERAD); SWAT-GFP fusion protein localizes to the endoplasmic reticulum and vacuole, while mCherry fusion localizes to just the vacuole",4_16_10
15H6,YKR085C,MRPL20,Mitochondrial ribosomal protein of the large subunit,4_16_11
16H6,YOL031C,SIL1,Nucleotide exchange factor for the ER lumenal Hsp70 chaperone Kar2p; required for protein translocation into the endoplasmic reticulum (ER); homolog of Yarrowia lipolytica SLS1; GrpE-like protein,4_16_12
15H7,YKR087C,OMA1,"Metalloendopeptidase of the mitochondrial inner membrane; important for adaptive responses to various homeostatic insults, preservation of normal mitochondrial function under damage-eliciting conditions, and stability of respiratory supercomplexes; involved in turnover of membrane-embedded proteins; mediates degradation of Cox1p in coa2 mutant cells; zebrafish ortholog has a role in organ development and mouse ortholog is also required for respiratory supercomplex stability",4_16_13
16H7,YLR110C,CCW12,"Cell wall mannoprotein; plays a role in maintenance of newly synthesized areas of cell wall; localizes to periphery of small buds, septum region of larger buds, and shmoo tip; CCW12 has a paralog, YDR134C, that arose from the whole genome duplication",4_16_14
15H8,YLL027W,ISA1,Protein required for maturation of mitochondrial [4Fe-4S] proteins; functions in a complex with Isa2p and possibly Iba57p; isa1 deletion causes loss of mitochondrial DNA and respiratory deficiency; depletion reduces growth on nonfermentable carbon sources; functional ortholog of bacterial A-type ISC proteins; human ISCA1 can complement isa1 null mutant,4_16_15
16H8,YOL052C-A,DDR2,"Multi-stress response protein; expression is activated by a variety of xenobiotic agents and environmental or physiological stresses; DDR2 has a paralog, HOR7, that arose from the whole genome duplication",4_16_16
15H9,YLL030C,RRT7,"Protein of unknown function; identified in a screen for mutants with increased levels of rDNA transcription; dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data",4_16_17
